#Name, City, Country, IATA, ICAO, Latitude, Logtitude, Altitude, Timezone, DST
Altay Air Base,Altay,China,AAT,ZWAT,47.7498855591,88.08580780030002,2460,8,U
Tuzla International Airport,Null,Bosnia and Herzegovina,TZL,LQTZ,44.45869827270508,18.72480010986328,784,1,E
Manzhouli Xijiao Airport,Manzhouli,China,NZH,ZBMZ,49.566667,117.33,2231,8,U
Wuhai Airport,Wuhai,China,WUA,ZBUH,39.7934,106.7993,3650,8,U
Greenbrier Valley Airport,Lewisburg,United States,LWB,KLWB,37.8582992554,-80.3994979858,2302,-5,U
Branson Airport,Branson,United States,BKG,KBBG,36.532082,-93.200544,1302,-6,A
Tongren Fenghuang Airport,Tongren,China,TEN,ZUTR,27.883333,109.308889,0,8,U
Jinggangshan Airport,Jian,China,JGS,ZSJA,26.856899261499997,114.736999512,281,8,U
Begishevo Airport,Nizhnekamsk,Russia,NBC,UWKE,55.564701080322266,52.092498779296875,643,3,N
Warri Airport,Osubi,Nigeria,QRW,DNSU,5.59611,5.81778,242,1,U
Siargao Airport,Siargao,Philippines,IAO,RPNS,9.859097,126.014,10,8,N
Northeast Florida Regional Airport,St. Augustine Airport,United States,UST,KSGJ,29.9592,-81.339798,10,-5,A
Dehradun Airport,Dehra Dun,India,DED,VIDN,30.189699,78.180298,1831,5.30,N
Charles M. Schulz Sonoma County Airport,Santa Rosa,United States,STS,KSTS,38.50899887,-122.8130035,128,-8,A
Aspen-Pitkin Co/Sardy Field,Aspen,United States,ASE,KASE,39.22320175,-106.8690033,7820,-7,A
Ulyanovsk Baratayevka Airport,Ulyanovsk,Russia,ULV,UWLL,54.26829910279999,48.226699829100006,463,4,N
Shenandoah Valley Regional Airport,Weyers Cave,United States,SHD,KSHD,38.2638015747,-78.8964004517,1201,-5,A
Mc Cook Ben Nelson Regional Airport,McCook,United States,MCK,KMCK,40.20629883,-100.5920029,2583,-6,A
San Luis Valley Regional Bergman Field,Alamosa,United States,ALS,KALS,37.434898,-105.866997,7539,-7,A
Canyonlands Field,Moab,United States,CNY,KCNY,38.75500107,-109.7549973,4557,-7,A
Vernal Regional Airport,Vernal,United States,VEL,KVEL,40.4408989,-109.5100021,5278,-7,A
Mammoth Yosemite Airport,Mammoth Lakes,United States,MMH,KMMH,37.62409973,-118.8379974,7135,-8,A
Unalakleet Airport,Unalakleet,United States,UNK,PAUN,63.88840103,-160.798996,27,-9,A
Toowoomba Airport,Toowoomba,Australia,TWB,YTWB,-27.542801,151.916,2086,10,N
Angoon Seaplane Base,Angoon,United States,AGN,PAGN,57.503601,-134.585007,0,-9,A
Elfin Cove Seaplane Base,Elfin Cove,United States,ELV,PAEL,58.195201873799995,-136.347000122,0,-9,A
Hoonah Airport,Hoonah,United States,HNH,PAOH,58.0961,-135.410111,19,-9,A
Metlakatla Seaplane Base,Metakatla,United States,MTM,PAMM,55.131001,-131.578003,0,-9,A
Hydaburg Seaplane Base,Hydaburg,United States,HYG,PAHY,55.206298828125,-132.8280029296875,0,-9,A
Karluk Airport,Karluk,United States,KYK,PAKY,57.5671005249,-154.449996948,137,-9,A
Larsen Bay Airport,Larsen Bay,United States,KLN,PALB,57.5350990295,-153.977996826,87,-9,A
Brevig Mission Airport,Brevig Mission,United States,KTS,PFKT,65.3312988281,-166.466003418,38,-9,A
Elim Airport,Elim,United States,ELI,PFEL,64.61470032,-162.2720032,162,-9,A
Golovin Airport,Golovin,United States,GLV,PAGL,64.5504989624,-163.007003784,59,-9,A
Teller Airport,Teller,United States,TLA,PATE,65.2404022217,-166.339004517,294,-9,A
Wales Airport,Wales,United States,WAA,PAIW,65.622593,-168.095,22,-9,A
White Mountain Airport,White Mountain,United States,WMO,PAWM,64.689201355,-163.412994385,267,-9,A
Koyuk Alfred Adams Airport,Koyuk,United States,KKA,PAKK,64.9394989014,-161.154006958,154,-9,A
St Michael Airport,St. Michael,United States,SMK,PAMK,63.49010086,-162.1100006,98,-9,A
Shaktoolik Airport,Shaktoolik,United States,SKK,PFSH,64.37110138,-161.223999,24,-9,A
Klawock Airport,Klawock,United States,KLW,PAKW,55.579200744599994,-133.076004028,80,-9,A
Minchumina Airport,Lake Minchumina,United States,LMA,PAMH,63.886002,-152.302002,678,-9,A
Natuashish Airport,Natuashish,Canada,YNP,CNH2,55.913898,-61.184399,30,-4,A
Postville Airport,Postville,Canada,YSO,CCD4,54.9105,-59.78507,193,-4,A
Havre St Pierre Airport,Havre-Saint-Pierre,Canada,YGV,CYGV,50.281898498535156,-63.61140060424805,124,-5,A
Wekweeti Airport,Wekweeti,Canada,YFJ,CFJ2,64.190804,-114.077002,1208,-7,A
Charlotte Amalie Harbor Seaplane Base,Charlotte Amalie,Virgin Islands,SPB,VI22,18.338600158691406,-64.9406967163086,0,-4,A
Los Colonizadores Airport,Saravena,Colombia,RVE,SKSA,6.951868,-71.857179,680,-5,U
Villa Garzon Airport,Villa Garzon,Colombia,VGZ,SKVG,0.978767,-76.6056,1248,-5,U
Cabo Frio Airport,Cabo Frio,Brazil,CFB,SBCB,-22.921699523900003,-42.074298858599995,23,-3,S
Presidente Joao Batista Figueiredo Airport,Sinop,Brazil,OPS,SWSI,-11.885000228881836,-55.58610916137695,1227,-4,S
Breves Airport,Breves,Brazil,BVS,SNVS,-1.6365300416946411,-50.443599700927734,98,-3,S
Parintins Airport,Parintins,Brazil,PIN,SWPI,-2.6730198860168457,-56.777198791503906,87,-4,S
Barreiras Airport,Barreiras,Brazil,BRA,SNBR,-12.078900337219238,-45.00899887084961,2447,-3,S
Araguaina Airport,Araguaina,Brazil,AUX,SWGN,-7.22787,-48.240501,771,-3,S
Dourados Airport,Dourados,Brazil,DOU,SSDO,-22.2019,-54.926601,1503,-4,S
Maestro Marinho Franco Airport,Rondonopolis,Brazil,ROO,SWRD,-16.586,-54.7248,1467,-4,S
General Leite de Castro Airport,Rio Verde,Brazil,RVD,SWLC,-17.8347225189209,-50.956111907958984,2464,-3,S
Romeu Zema Airport,Araxa,Brazil,AAX,SBAX,-19.563199996948,-46.960399627686,3276,-3,S
Coari Airport,Coari,Brazil,CIZ,SWKO,-4.134059906005859,-63.132598876953125,131,-4,S
Barcelos Airport,Barcelos,Brazil,BAZ,SWBC,-0.981292,-62.919601,112,-4,S
Enfidha - Hammamet International Airport,Enfidha,Tunisia,NBE,DTNH,36.075833,10.438611,21,1,U
Hatay Airport,Hatay,Turkey,HTY,LTDA,36.36277771,36.282222747800006,269,3,U
Raivavae Airport,Raivavae,French Polynesia,RVV,NTAV,-23.885200500499998,-147.662002563,7,-10,N
Foshan Shadi Airport,Foshan,China,FUO,ZGFS,23.083299636799996,113.069999695,6,8,N
Lleida-Alguaire Airport,Lleida,Spain,ILD,LEDA,41.728185,0.535023,1170,1,E
Ulgii Mongolei Airport,Olgii,Mongolia,ULG,ZMUL,48.9933013916,89.9225006104,5732,7,U
Qurghonteppa International Airport,Kurgan Tyube,Tajikistan,KQT,UTDT,37.86640167236328,68.86470031738281,1473,5,U
Al Najaf International Airport,Najaf,Iraq,NJF,ORNI,31.989853,44.404317,103,3,U
Indira Gandhi International Airport,Delhi,India,DEL,VIDP,28.5665,77.103104,777,5.30,N
Dimapur Airport,Dimapur,India,DMU,VEMR,25.883899688699998,93.77110290530001,487,5,N
Fuyang Xiguan Airport,Fuyang,China,FUG,ZSFY,32.882157,115.734364,104,8,U
Longyan Guanzhishan Airport,Longyan,China,LCX,ZSLD,25.6746997833,116.747001648,1225,8,U
Baoshan Yunduan Airport,Baoshan,China,BSD,ZPBS,25.053301,99.168297,5453,8,U
Xingyi Airport,Xingyi,China,ACX,ZUYI,25.0863888889,104.959444444,4150,8,U
Liping Airport,Liping,China,HZH,ZUNP,26.32217,109.1499,1620,8,U
Zhijiang Airport,Zhijiang,China,HJJ,ZGCJ,27.4411111111,109.7,882,8,U
Lintsang Airfield,Lincang,China,LNJ,ZPLC,23.738100051900002,100.025001526,6230,8,U
Carajos Airport,Parauapebas,Brazil,CKS,SBCJ,-6.11527776718,-50.0013885498,2064,-3,S
Diu Airport,Diu,India,DIU,VA1P,20.71310043334961,70.92109680175781,31,5,N
Mosul International Airport,Mosul,Iraq,OSM,ORBM,36.305801,43.1474,719,3,U
Donoi Airport,Uliastai,Mongolia,ULZ,ZMDN,47.7093,96.5258,5800,8,U
Ulaangom Airport,Ulaangom,Mongolia,ULO,ZMUG,50.066588,91.938273,0,7,U
Kulob Airport,Kulyab,Tajikistan,TJU,UTDK,37.98809814453125,69.80500030517578,2293,5,U
Ravensthorpe Airport,Ravensthorpe,Australia,RVT,YNRV,-33.7971992493,120.208000183,197,8,U
Provo Municipal Airport,Provo,United States,PVU,KPVU,40.219200134277,-111.72299957275,4497,-7,A
Ulawa Airport,Ulawa,Solomon Islands,RNA,AGAR,-9.86054358262,161.979546547,40,11,U
Choiseul Bay Airport,Choiseul Bay,Solomon Islands,CHY,AGGC,-6.711944,156.396111,0,11,U
Santa Ana Airport,Santa Ana,Solomon Islands,NNB,AGGT,-10.847994,162.454108,3,11,U
Northwest Florida Beaches International Airport,Panama City,United States,ECP,KECP,30.357106,-85.795414,69,-6,A
Dabolim Airport,Goa,India,GOI,VAGO,15.3808002472,73.8313980103,150,5.30,N
Gorakhpur Airport,Gorakhpur,India,GOP,VEGK,26.739700317399997,83.4496994019,259,5.00,N
Zonguldak Airport,Zonguldak,Turkey,ONQ,LTAS,41.506401062,32.0886001587,39,3,E
Tengchong Tuofeng Airport,Tengchong,China,TCZ,ZUTC,24.9380555556,98.48583333330001,6250,8,N
Belbek Airport,Sevastopol,Ukraine,UKS,UKFB,44.688999176,33.570999145500004,344,3,U
Yushu Batang Airport,Yushu,China,YUS,ZYLS,32.836388888900004,97.0363888889,12816,8,U
Lianshui Airport,Huai An,China,HIA,ZSSH,33.7908333333,119.125,28,8,N
Lokpriya Gopinath Bordoloi International Airport,Guwahati,India,GAU,VEGT,26.10610008239746,91.58589935302734,162,5,N
Gwalior Airport,Gwalior,India,GWL,VIGR,26.29330062866211,78.22779846191406,617,5.30,N
Ngari Gunsa Airport,Shiquanhe,China,NGQ,ZUAL,32.1,80.0530555556,14022,8,N
Puerto Obaldia Airport,Puerto Obaldia,Panama,PUE,MPOA,8.667,-77.418,223,-5,U
Zhongwei Shapotou Airport,Zhongwei,China,ZHY,ZLZW,37.573125,105.154454,8202,8,N
Al Maktoum International Airport,Dubai,United Arab Emirates,DWC,OMDW,24.896356,55.161389,114,4,U
Baise Youjiang Airport,Baise,China,AEB,ZGBS,23.7206001282,106.959999084,490,8,N
Rajiv Gandhi International Airport,Hyderabad,India,HYD,VOHS,17.2313175201,78.4298553467,2024,5,N
Zona da Mata Regional Airport,Juiz de Fora,Brazil,IZA,SDZY,-21.5130558014,-43.1730575562,1348,-3,S
Vinnytsia/Gavyryshivka Airport,Vinnitsa,Ukraine,VIN,UKWW,49.242531,28.613778,961,2,E
La Romaine Airport,La Romaine,Canada,ZGS,CTT5,50.259701,-60.679401,90,-4,A
Kegaska Airport,Kegaska,Canada,ZKG,CTK6,50.1958007812,-61.265800476100004,32,-4,A
Trail Airport,Trail,Canada,YZZ,CAD4,49.0555992126,-117.60900116,1427,-8,A
Old Arctic Bay Airport,Arctic Bay,Canada,YAB,CJX7,73.0058922479,-85.0325489044,100,-6,A
Sohag International Airport,Sohag,Egypt,HMB,HEMK,26.342778,31.742778,310,2,E
Patos de Minas Airport,Patos de Minas,Brazil,POJ,SNPD,-18.672800064086914,-46.4911994934082,2793,-3,S
Bauru - Arealva Airport,Bauru,Brazil,JTC,SJTC,-22.166859140899998,-49.0502866745,1949,-3,S
Bonito Airport,Bointo,Brazil,BYO,SJDB,-21.247299,-56.452499,1180,-4,S
Eirunepe Airport,Eirunepe,Brazil,ERN,SWEI,-6.639530181884766,-69.87979888916016,412,-4,S
Senadora Eunice Micheles Airport,Sao Paulo de Olivenca,Brazil,OLC,SDCG,-3.46792950765,-68.9204120636,335,-4,S
Tapuruquara Airport,Santa Isabel do Rio Negro,Brazil,IRZ,SWTP,-0.3786,-64.9923,223,-4,S
Oriximina Airport,Oriximina,Brazil,ORX,SNOX,-1.7140799760818481,-55.83620071411133,262,-3,S
Gazipaia Airport,Alanya,Turkey,GZP,LTGP,36.299217,32.300598,86,3,E
Imphal Airport,Imphal,India,IMF,VEIM,24.7600002289,93.896697998,2540,5.30,N
Hilton Head Airport,Hilton Head Island,United States,HHH,KHXD,32.2243995667,-80.6975021362,19,-5,A
Turukhansk Airport,Turukhansk,Russia,THX,UOTT,65.797203064,87.9353027344,128,7,N
Podkamennaya Tunguska Airport,Bor,Russia,TGP,UNIP,61.589699,89.994003,213,7,N
Devi Ahilyabai Holkar Airport,Indore,India,IDR,VAID,22.7217998505,75.8011016846,1850,5.30,N
Jabalpur Airport,Jabalpur,India,JLR,VAJB,23.177799224853516,80.052001953125,1624,5.30,N
Majeed Bin Abdulaziz Airport,Al-Ula,Saudi Arabia,ULH,OEAO,26.48,38.1288888889,2050,3,N
Jaipur International Airport,Jaipur,India,JAI,VIJP,26.8242,75.812202,1263,5.30,N
Lombok International Airport,Praya,Indonesia,LOP,WADL,-8.757322,116.276675,319,8,N
Handan Airport,Handan,China,HDG,ZBHD,36.5258333333,114.425555556,229,8,N
Modlin Airport,Warsaw,Poland,WMI,EPMO,52.451099,20.6518,341,1,E
Jixi Xingkaihu Airport,Jixi,China,JXA,ZYJX,45.293,131.193,760,8,N
Beloyarskiy Airport,Beloyarsky,Russia,EYK,USHY,63.686901,66.698601,82,5,N
Uummannaq Heliport,Uummannaq,Greenland,UMD,BGUM,70.6804279261,-52.111630439799995,50,-3,E
Bayannur Tianjitai Airport,Bayannur,China,RLK,ZBYZ,40.926,107.7428,3400,8,U
Jammu Airport,Jammu,India,IXJ,VIJU,32.6890983582,74.8374023438,1029,5.30,N
Jamnagar Airport,Jamnagar,India,JGA,VAJM,22.465499877929688,70.01260375976562,69,5.30,N
Ust-Tsylma Airport,Ust-Tsylma,Russia,UTS,UUYX,65.43729400630001,52.20033645629999,262,3,N
Gorno-Altaysk Airport,Gorno-Altaysk,Russia,RGK,UNBG,51.9667015076,85.8332977295,965,7,N
Moma Airport,Honuu,Russia,MQJ,UEMA,66.450861,143.261551,656,11,N
Lankaran International Airport,Lankaran,Azerbaijan,LLK,UBBL,38.746398925799994,48.8180007935,30,4,U
Gabala International Airport,Qabala,Azerbaijan,GBB,UBBQ,40.826667,47.7125,935,4,E
Qianjiang Wulingshan Airport,Qianjiang,China,JIQ,ZUQJ,29.5133333333,108.831111111,2075,8,N
Changbaishan Airport,Baishan,China,NBS,ZYBS,42.066944,127.602222,2874,8,N
Jodhpur Airport,Jodhpur,India,JDH,VIJO,26.251100540161133,73.04889678955078,717,5.30,N
Lublin Airport,Lublin,Poland,LUZ,EPLB,51.240278,22.713611,633,1,E
Lingling Airport,Yongzhou,China,LLF,ZGLG,26.338661,111.610043,340,8,U
Yangzhou Taizhou Airport,Yangzhou,China,YTY,ZSYA,32.5634,119.7198,7,8,N
Kooddoo Airport,Kooddoo,Maldives,GKK,VRMO,0.7324,73.4336,29,5,U
Termas de Rio Hondo international Airport,Rio Hondo,Argentina,RHD,SANR,-27.4966,-64.93595,935,-3,S
Kangding Airport,Kangding,China,KGT,ZUKD,30.1575,101.734722,14042,8,N
Velikiy Ustyug Airport,Veliky Ustyug,Russia,VUS,ULWU,60.788299560546875,46.2599983215332,331,3,N
Bodaybo Airport,Bodaibo,Russia,ODO,UIKB,57.866100311299995,114.242996216,919,8,N
Jiagedaqi Airport,Jiagedaqi District,China,JGD,ZYJD,50.371389,124.1175,1205,8,N
Bijie Feixiong Airport,Bijie,China,BFJ,ZUBJ,27.267066,105.472097,4751,8,N
Lensk Airport,Lensk,Russia,ULK,UERL,60.7206001282,114.825996399,801,9,N
Igdir Airport,Igdir,Turkey,IGD,LTCT,39.9766273499,43.8766479492,3101,3,E
Sanliurfa GAP Airport,Sanliurfa,Turkey,GNY,LTCS,37.445663,38.895592,2708,3,E
Zafer Airport,Kutahya,Turkey,KZR,LTBZ,39.113079,30.128111,3327,3,E
Busselton Regional Airport,Brusselton,Australia,BQB,YBLN,-33.6884231567,115.401596069,55,8,O
Yichun Mingyueshan Airport,Yichun,China,YIC,ZSYC,27.8025,114.3062,430,8,U
Kangra Airport,Kangra,India,DHM,VIGG,32.16510009765625,76.26339721679688,2525,5,N
Kanpur Airport,Kanpur,India,KNU,VICX,26.404301,80.410103,410,5.30,N
Bingol Geltiksuyu Airport,Bingol,Turkey,BGG,LTCU,38.8592605591,40.5959625244,3506,3,E
Kastamonu Airport,Kastamonu,Turkey,KFS,LTAL,41.31420135498047,33.795799255371094,3520,3,E
Daocheng Yading Airport,Daocheng,China,DCY,ZUDC,29.323056,100.053333,14472,8,N
Gannan Xiahe Airport,Xiahe city,China,GXH,ZLXH,34.8105,102.6447,10510,8,N
Comiso Airport,Comiso,Italy,CIY,LICB,36.994601,14.607182,623,1,E
Xinyuan Nalati Airport,Xinyuan,China,NLT,ZWNL,43.4318,83.3786,3050,8,U
Ogden Hinckley Airport,Ogden,United States,OGD,KOGD,41.195899963379,-112.0120010376,4473,-7,A
Zhangye Ganzhou Airport,Zhangye,China,YZY,ZLZY,38.8018989563,100.675003052,5280,8,N
Cacoal Airport,Cacoal,Brazil,OAL,SSKW,-11.496,-61.4508,778,-4,N
Mocopulli Airport,Castro,Chile,MHC,SCPQ,-42.340388,-73.715693,528,-4,S
Tazadit Airport,Zouerat,Mauritania,OUZ,GQPZ,22.756399154663086,-12.483599662780762,1129,0,N
Asaba International Airport,Asaba,Nigeria,ABB,DNAS,6.204167,6.665278,305,1,N
Akwa Ibom International Airport,Uyo,Nigeria,QUO,DNAI,4.875833,8.093,170,1,N
Jiuhuashan Airport,Chizhou,China,JUH,ZSJH,30.7403,117.6856,60,8,N
Anshan Air Base,Anshan,China,AOG,ZYAS,41.105301,122.853996,0,8,N
Saertu Airport,Daqing,China,DQA,ZYDQ,46.7463888889,125.140555556,496,8,N
Zunyi Xinzhou Airport,Zunyi,China,ZYI,ZUZY,27.5895,107.0007,2920,8,N
Lindu Airport,Yinchun,China,LDS,ZYLD,47.7520555556,129.019125,791,8,N
Anshun Huangguoshu Airport,Anshun,China,AVA,ZUAS,26.2605555556,105.873333333,4812,8,N
Betoambari Airport,Bau-Bau,Indonesia,BUW,WAWB,-5.486879825592041,122.56900024414062,164,8,N
Kao Airport,Kao,Indonesia,KAZ,WAMK,1.1852799654006958,127.89600372314453,27,9,N
Melangguane Airport,Melonguane,Indonesia,MNA,WAMN,4.00694,126.672997,3,8,N
Oksibil Airport,Oksibil,Indonesia,OKL,WAJO,-4.9071,140.6277,4315,9,N
Richmond Airport,Richmond,Australia,RCM,YRMD,-20.701900482177734,143.11500549316406,676,10,N
RAAF Base Curtin,Derby,Australia,DCN,YCIN,-17.5813999176,123.82800293,300,8,N
Khajuraho Airport,Khajuraho,India,HJR,VAKJ,24.817199707,79.91860198970001,728,5.30,N
Erenhot Saiwusu International Airport,Erenhot,China,ERL,ZBER,43.4225,112.096667,3301,8,N
Cochin International Airport,Kochi,India,COK,VOCI,10.152,76.401901,30,5.30,N
Netaji Subhash Chandra Bose International Airport,Kolkata,India,CCU,VECC,22.654699325561523,88.44670104980469,16,5.30,N
Jumandy Airport,Tena,Ecuador,TNW,SEJD,-1.059722,-77.583333,1234,-5,S
