XCoord;YCoord;OBJECTID;NAME;ANSCHRIFT;PLZ;ORT;TELEFON;KAT2;KAT3;HERKUNFT;PHI;LAMBDA
1719876,60600000;5953227,30410000;1;TU-Graz, Institute der Falkultät für Bauingenieurwissenschaften;Lessingstraße 25;8010;Graz;+43(0)316/873-4341;Universitäten, Hoch- & Fachhochschulen;Technische Universität Graz;Stadt Graz - Stadtvermessung;47,068287;15,449914
1719818,61630000;5954920,00380000;2;MED Institut für Experimentelle und Klinische Pharmakologie;Universitätsplatz 4;8010;Graz;+43(0)316/380-4309;Universitäten, Hoch- & Fachhochschulen;Medizinische Universität Graz;Stadt Graz - Stadtvermessung;47,078644;15,449393
1719719,00390000;5955076,75540000;3;MED Institut für Pathophysiologie & Immunologie;Heinrichstraße 31a;8010;Graz;+43(316)380-4290;Universitäten, Hoch- & Fachhochschulen;Medizinische Universität Graz;Stadt Graz - Stadtvermessung;47,079601;15,448499
1719839,10620000;5954889,66260000;4;MED Institut für Gerichtliche Medizin;Universitätsplatz 4/II;8010;Graz;+43(0)316/380-4325;Universitäten, Hoch- & Fachhochschulen;Medizinische Universität Graz;Stadt Graz - Stadtvermessung;47,078457;15,449577
1719634,06810000;5954718,70430000;5;MED Institut für Humangenetik;Harrachgasse 21/8;8010;Graz;+43(0)316/380-4111;Universitäten, Hoch- & Fachhochschulen;Medizinische Universität Graz;Stadt Graz - Stadtvermessung;47,077412;15,447736
1719830,70120000;5954902,00410000;6;MED Institut für Hygiene, Mikrobiologie und Umweltmedizin;Universitätsplatz 4;8010;Graz;+43(0)316/380-4360;Universitäten, Hoch- & Fachhochschulen;Medizinische Universität Graz;Stadt Graz - Stadtvermessung;47,078533;15,449502
1719809,51860000;5954932,68290000;7;MED Institut für Sozialmedizin und Epidemiologie;Universitätsplatz 4/III;8010;Graz;+43(0)316/380-4398;Universitäten, Hoch- & Fachhochschulen;Medizinische Universität Graz;Stadt Graz - Stadtvermessung;47,078720;15,449312
1715045,00770000;5953439,13860000;8;FH Joanneum, Bank- und Versiucherungswirtschaft;Eggenberger Allee 11;8020;Graz;+43(0)316/5453-7100;Universitäten, Hoch- & Fachhochschulen;Fachhochschule;Stadt Graz - Stadtvermessung;47,069584;15,406511
1715309,13860000;5953336,83940000;9;FH Joanneum, Ausstellungs- u. Museumsdesign;Alte Poststraße 152;8020;Graz;+43(0)316/5453-8600;Universitäten, Hoch- & Fachhochschulen;Fachhochschule;Stadt Graz - Stadtvermessung;47,068958;15,408884
1715392,32570000;5953457,32130000;10;FH Joanneum, Informationsmanagement;Alte Poststraße 147;8020;Graz;+43(0)316/5453-8500;Universitäten, Hoch- & Fachhochschulen;Fachhochschule;Stadt Graz - Stadtvermessung;47,069695;15,409632
