AKey,Name,Aliases,Affiliation,Country,Website
A424418,Alexandros Stougiannis,,,,
A424434,Yantao Zhou,,,,
A424490,Ye Ding,,,,
A424553,Osamu Abe,,,,
A424689,Loïc Salmon,,,,
A424722,Sudha Ram,,,,
A424734,Yingjie Xia,,,,
A424812,Diego Gutierrez,,University of Zaragoza,Spain,http://giga.cps.unizar.es/~diegog/
A424883,David Belanger,,University of Massachusetts,USA,http://people.cs.umass.edu/~belanger/
A424990,Aljoscha Krettek,,,,
A424991,Jean-François Blanchette,,,,
A425023,Fabien Gaud,,,,
A425073,Tinghui Wang,,,,
A425077,Lihong Wang,,,,
A425099,Nils Schweinsberg,,,,
A425102,Daniel Fabbri,,,,
A425277,Dayou Liu,,,,
A425407,Zhongxuan Luo,,,,
A425408,Albert Kwon,,MITZ,Germany,http://www.albertkwon.com/
A425458,Hao Li,,,,
A425493,Nick Hughes,,,,
A425639,Lusine Mkrtchyan,,,,
A425728,Jérémie Mary,,,,
A425738,Hans-Andrea Loeliger,,ETH Zurich,Switzerland,http://people.ee.ethz.ch/~loeliger/
A425762,Saad Ali,,,,
A425865,Mohamed Amine Baazizi,,,,
A425882,Hao Li 0025,,Hunan University,China,https://orcid.org/0000-0003-2989-0679
A425898,Hyuck Han,,,,
A425916,Bojun Yan,,,,
A426026,Timothy M. McPhillips,,,,
A426049,Caitlin Sadowski,,Google,USA,https://ai.google/research/people/CaitlinSadowski
A426068,Reuven Cohen,,,,
A426085,Yi Duan,,,,
A426116,Martin Jaggi,,,,
A426284,Christopher Wienberg,,,,
A426290,Christos Dimitrakakis,,,,
A426312,Ji Huang,,,,
A426337,Michel van Eeten,Michel J. G. van Eeten,Delft University of Technology,The Netherlands,http://www.tbm.tudelft.nl/en/about-faculty/departments/multi-actor-systems/people/professors/profdr-mjg-michel-van-eeten/
A426344,Huang Fang,,,,
A426365,Mahmood Quaderi,,,,
A426413,Vlastislav Dohnal,,,,
A426503,Ling Chen 0006,,University of Technology Sydney,Australia,
A426672,Xufei Qian,,,,
A426734,Jin-Woo Jeong,,,,
A426742,Artem Polyvyanyy,,University of Melbourne,Australia,http://polyvyanyy.com/
A426757,Yusuke Yamamoto,,,,
A426768,Sylvie Ranwez,,,,
A426794,Lidia Sánchez-González,Lidia Sánchez,University of León,Spain,https://scholar.google.com/citations?user=07RB3CkAAAAJ
A426845,Peter Bendel,,,,
A426851,Sadia Ahmed,,,,
A426855,Joel C. Adams,,,,
A426860,Takeshi Yamamuro,,,,
A426871,Zili Zhang,,,,
A426998,Emad Souroush,,,,
A427039,Jie Li,,,,
A427046,Ling Chen 0004,,University of Queensland,Australia,https://orcid.org/0000-0002-1512-6672
A427153,Mitul Tiwari,,,,
A427198,Stelios Sotiriadis,,,,
A427220,Uma Sawant,,,,
A427405,Bin Cao 0004,,Zhejiang University of Technology,China,https://orcid.org/0000-0003-1062-6309
A427489,James Decraene,,,,
A427503,Kai Yang,,,,
A427533,Jeff M. Phillips,,University of Utah,USA,http://www.cs.utah.edu/~jeffp/
A427584,Xin Guo 0006,,Zhejiang University,China,https://orcid.org/0000-0002-9329-8680
A427645,Keita Xagawa,,,,http://xagawa.net/
A427781,Luis Martínez-López,Luis Martínez 0001,University of Jaén,Spain,http://sinbad2.ujaen.es/?q=en/users/martin
A427801,Huaiyu Zhu 0001,,IBM,USA,https://researcher.watson.ibm.com/researcher/view_person_pubs.php?person=us-huaiyu&t=1
A427830,Mario Alviano,,,,https://orcid.org/0000-0002-2052-2063
A427840,Haifeng Zhao,,,,
A427893,Vladan Radosavljevic,,,,
A427940,Marisa A. Vasconcelos,Marisa Vasconcelos:Marisa Affonso Vasconcelos,IBM,USA,https://www.mendeley.com/profiles/marisa-vasconcelos/
A427975,Nafaâ Jabeur,,,,
A428071,Helen Ashman,,University of South Australia,Australia,http://people.unisa.edu.au/helen.ashman
A428262,Shirin Nilizadeh,,,,
A428302,Vipul Agarwal,,,,
A428371,Francisca Pérez,,,,
A428423,Angelika Kimmig,,,,
A428427,Cinzia Cappiello,,,,
A428432,Ramakanth Kavuluru,,University of Kentucky,USA,http://www.cs.uky.edu/people/faculty/rkavuluru
A428473,Shailesh Saroha,,,,
A428565,David Vengerov,,,,
A428643,Ruth Bergman,,Hewlett Packard,USA,http://www.labs.hpe.com/people/ruth_bergman/
A428645,Jingqing Zhang,,,,
A428653,Anand Viswanathan,,,,
A428720,Bart P. Knijnenburg,Bart Piet Knijnenburg,,,https://orcid.org/0000-0003-1341-0669
A428758,Jing Yuan 0002,,University of Texas at Dallas,USA,https://orcid.org/0000-0001-6407-834X
A428765,Lin Wang 0004,,University of Jinan,China,https://orcid.org/0000-0002-5491-8840
A428786,Robert Meusel,,,,
A428825,Wang Lam,,,,
A428826,Roberto Larcher,,,,
A428858,Nikos Giatrakos,,,,
A428863,Jiaqi Ge,,,,
A428874,Marc Strickert,,,,
A428905,Luis Perez,,,,
A428907,Venkatanathan Varadarajan,,,,
A428929,Carlos Scheidegger,Carlos Eduardo Scheidegger,,,http://cscheid.net/
A428982,Harneet Singh,,,,
A429096,Keng-hao Chang,,,,
A429149,Rodrigo Martínez-Béjar,,,,
A429320,Jie Sui,,,,
A429443,Jie Hou,,,,
A429450,Liefeng Bo,,,,
A429690,Tae-Hoon Kim,Tae Hoon Kim:TaeHoon Kim:Taehoon Kim,,,
A429693,Chenjie Gu,,,,
A429716,Xin Guo,,,,
A429815,Zhiyong Shen,,,,
A429930,Mauro Passacantando,,University of Pisa,Italy,http://pages.di.unipi.it/passacantando/
A429983,Xufei Wang,,,,
A430064,Cibin George,,,,
A430126,Changkyu Choi,,,,
A430354,Jesper Møller,,,,
A430397,Tomohide Shibata,,,,
A430475,Yi Wang 0041,,National ICT Australia,Australia,
A430655,David P. Luebke,David Luebke,,,http://luebke.us/
A430677,Arjun Singh,,,,
A430702,Gianluigi Greco,,,,
A430767,Zhong-Qiu Zhao,Zhongqiu Zhao,,,
A430770,Ryan A. Rossi,Ryan Anthony Rossi,,,https://orcid.org/0000-0001-9758-0635
A430808,Sangho Lee,,,,
A430843,Tim Gollub,,,,
A430878,Yuxuan Li 0001,,University of Melbourne,Australia,
A431035,Haoyu Yang,,,,
A431107,Ling Chen 0001,,Zhejiang University,China,https://scholar.google.com/citations?user=Vxi9eakAAAAJ
A431124,Alexandros Potamianos,,,,http://www.potam.com/
A431194,Allen Clement,,Max Planck Institute for Software Systems,Germany,http://www.mpi-sws.org/~aclement/
A431203,Ivo Jimenez,,,,https://orcid.org/0000-0002-2222-1985
A431238,Yuxiao Dong,,,,
A431246,Jan Brunnert,,,,
A431259,Rafal Rzepka,,,,
A431264,Prasanta Ghosh,,,,
A431294,Shaogang Gong,,,,
A431370,Xiangmin Zhang,,,,
A431384,Jinoh Kim,,,,
A431440,Qiang Fu,,,,
A431666,Haitao Liu,,,,
A431930,Dietmar Müller,,,,
A431940,Wei Feng,,,,
A431942,Lu Cheng,,,,
A432007,Vasile-Marian Scuturici,Marian Scuturici,,,
A432053,Javier Alfonso-Cendón,Javier Alfonso,,,https://orcid.org/0000-0001-7202-4659
A432159,Iyad Rahwan,,Max Planck Institut für Bildungsforschung,Germany,https://rahwan.me/
A432195,Weichang Wu,,,,
A432219,Michael Y. Levin,,,,
A432296,Damien Jose,,,,
A432424,Yi Wang,,,,
A432437,Tieyun Qian,,,,
A432502,Jing Yuan,,,,
A432571,Yuanbin Wu,,,,
A432648,Yang Fang 0001,,National University of Defense Technology,China,https://orcid.org/0000-0003-3565-2482
A432682,Kostas Zoumpatianos,Konstantinos Zoumpatianos,Harvard University,USA,https://orcid.org/0000-0002-6221-8254
A432723,Sangho Lee 0001,,Microsoft,USA,https://sangho2.github.io/
A432730,Ke Zhai 0001,,Microsoft,USA,http://kzhai.github.io/
A432843,Yegor Bugayenko,,,,
A432906,Diego Klabjan,,Northwestern University,USA,http://dynresmanagement.com/
A433043,Yuan Tang,,,,
A433186,Aron Culotta,,,,
A433213,Ling Chen,,,,
A433354,Bin Cao,,,,
A433399,Thomas Wadlow,,,,
A433423,Harikrishna G. N. Rai,,,,
A433528,Liang Jeff Chen,,,,
A433590,Lei Lin 0001,,Harbin Institute of Technology,China,
A433616,Beth Simon,,,,
A433619,Vuong M. Ngo,Vuong Minh Ngo,,,
A433653,Boduo Li,,,,
A433658,Bin Cao 0001,,Microsoft,USA,https://orcid.org/0000-0001-6513-1800
A433766,Michael Isard,,,,
A433808,Dezhong Peng,,,,
A434007,Andrew Brook,,,,
A434045,Vitali A. Morozov,,,,
A434063,Patrick Stuedi,,Thomas J. Watson Research Center,USA,http://researcher.watson.ibm.com/researcher/view_pubs.php?person=zurich-stu&t=1
A434096,R. Clay Reid,,,,
A434110,Barnabás Póczos,,,,
A434123,Anand Iyer,,,,
A434156,Balázs Hidasi,,,,
A434209,Janno von Stülpnagel,,,,
A434240,Daniel S. Tkach,,,,
A434315,Idan Szpektor,,,,
A434569,Sara Rosenthal,,,,
A434713,Victor Carneiro,,,,
A434717,Chenyi Zhuang,,,,
A434721,Avi Arampatzis,,Democritus University of Thrace,Greece,http://www.aviarampatzis.com
A434728,Chen Zeng,,,,
A434766,Yu Gu 0002,,Northeastern University,USA,https://orcid.org/0000-0001-7422-6254
A434771,Nitendra Rajput,,,,
A434919,Akrivi Vlachou,,Norwegian University of Science and Technology,Norway,http://www.idi.ntnu.no/~vlachou/
A434998,Neil Savage,,,,
A435029,Vandana Bhattacherjee,,,,
A435088,D. Richard Hipp,,,,
A435319,Yuncong Chen,,,,
A435331,Helen Nissenbaum,,,,
A435390,Zheng Lu,Zhen Lu,,,
A435426,Suk Hwan Lim,,,,
A435436,Huan Zhao,,,,
A435652,Riccardo Colini-Baldeschi,,,,
A435797,Hanuma Kodavalla,,,,
A435982,Yahong Han,,,,
A436010,Sofus A. Macskassy,Sofus Attila Macskassy,Facebook,USA,http://www.research.rutgers.edu/~sofmac/
A436089,Marcos Didonet Del Fabro,,Federal University of Paraná,Brazil,http://web.inf.ufpr.br/didonet
A436132,Ramesh Kumar,,,,
A436217,James Newman,,,,
A436290,Romain Hennequin,,,,
A436292,Masayuki Okabe,,,,
A436385,Jing Zheng,,,,
A436451,Yu Gu,,,,
A436509,John Robinson,,,,
A436554,Minsuk Kahng,,,,
A436559,Haiying Shen,Haiying (Helen) Shen,,,http://comp.uark.edu/~hshen/
A436598,Spyros Voulgaris,,Free University of Amsterdam,The Netherlands,http://acropolis.cs.vu.nl/~spyros/www/
A436601,Dong Zhou,,,,
A436647,Alexandra Stefan,,,,
A436734,Peng Wu,,,,
A436796,Tao Zhang,,,,
A436833,Nathan L. Ensmenger,,Indiana University,USA,http://homes.soic.indiana.edu/nensmeng/
A436852,Abhishek Gattani,,,,
A436950,Nate Foster,J. Nathan Foster,Cornell University,USA,http://www.cs.cornell.edu/~jnfoster/
A437049,Xiaoyan Lin,,,,
A437084,Clarisse Weischedel,,,,
A437089,Albert Angel,,,,
A437093,Benjamin J. Keller,,,,
A437128,John Bresnahan,,,,
A437292,Nurcan Durak,,,,
A437294,Yong Jae Lee,,University of Texas at Austin,USA,https://webspace.utexas.edu/yl3663/~ylee/
A437298,Patrick Colp,,,,
A437340,Pierre-François Marteau,Pierre-Francois Marteau,IRISA,France,http://people.irisa.fr/Pierre-Francois.Marteau/
A437410,Yongzhi Cao,,Peking University,China,http://162.105.81.246/yzcao/
A437417,Martin Kost,,,,
A437465,Ruifang Liu,,,,
A437507,Guoming Tang,,,,
A437515,Bruno Ribeiro 0001,Bruno F. Ribeiro:Bruno F. M. Ribeiro,Purdue University,USA,https://www.cs.purdue.edu/homes/ribeirob/
A437790,Min Hou,,,,
A437857,Wojciech M. Golab,Wojciech Golab,University of Waterloo,Canada,https://uwaterloo.ca/electrical-computer-engineering/people-profiles/wojciech-golab
A437877,Tao Zhang 0022,,Shanghai University of Finance and Economics,China,https://orcid.org/0000-0001-7561-0143
A437885,Yaming Yu,,,,
A437929,Dongwoo Kim 0002,,POSTECH,South Korea,http://dongwookim-ml.github.io/
A437939,Ajit Singh,,,,
A438025,V. M. Megler,,,,
A438030,Rahul Pathak,,,,
A438164,Jacopo Urbani,,,,
A438197,Dongxiao Zhu,,,,
A438207,Suyun Zhao,,,,
A438294,Shiwei Zhang,,,,
A438380,Siva Gurumurthy,,,,
A438465,Zheng Lu 0005,,University of Tennessee,USA,https://orcid.org/0000-0002-7203-220X
A438547,Desheng Zhang,,,,
A438589,Orlando Ohashi,,,,
A438625,Zhen Hu,,,,
A438813,Michael Blow,,,,
A438825,Ming Ji,,,,
A438932,Qi Zhou,,,,
A439145,Daniel B. Larremore,,,,
A439182,Siyuan Zhang,,,,
A439201,Harlan Stenn,,,,
A439286,Benjamin Piwowarski,,University Pierre et Marie Curie,France,http://www.bpiwowar.net/
A439287,Michael Schapira,,,,http://www.cs.huji.ac.il/~schapiram/
A439358,Dennis Pfisterer,,,,
A439418,Sean Kenneth Barker,,Bowdoin College,USA,https://orcid.org/0000-0003-3844-7687
A439424,An Li,,,,
A439489,Peter Bumbulis,,,,
A439508,Zheng-Yu Niu,,,,
A439671,Ziyuan Zhu,,,,
A439768,Hongyi Wang,,,,
A439869,Liping Peng,,,,
A439949,Nick Murphy,,,,
A440071,Juan M. Vara,Juan Manuel Vara:Juan Manuel Vara Mesa,King Juan Carlos University,Spain,http://www.kybele.es/es/miembros-juan-manuel-vara/
A440110,Yajuan Ma,,,,
A440178,An-Shou Cheng,,,,
A440259,Eunjoon Cho,,,,
A440261,Yiping Shen,,,,
A440336,Arjun Guha,,,,
A440346,Mohammed Belkhatir,,,,
A440358,Anne Kramer,,,,
A440460,Andrew Lenharth,,,,
A440550,Alejandro Veen,,,,
A440579,Maria Vayanou,,,,
A440687,Manas Joglekar,Manas R. Joglekar,,,https://orcid.org/0000-0001-9733-7504
A440793,Jaeho Choi,,,,
A440794,Bart Samwel,,,,
A440812,Anwar M. Mirza,Anwar Majid Mirza,,,
A440991,Peng Wu 0009,,University of Connecticut,USA,https://orcid.org/0000-0002-7175-6679
A441046,Tao Zhang 0006,,Tsinghua University,China,https://www.tsinghua.edu.cn/publish/auen/1713/2011/20110905111748512636051/20110905111748512636051_.html
A441057,Sambavi Muthukrishnan,,,,
A441195,Joshua Trzasko,Joshua D. Trzasko,,,https://scholar.google.com/citations?user=948wlXMAAAAJ
A441198,Christoph Heinz,,,,
A441274,V. Srinivasan,,,,
A441316,Krishna Kummamuru,,IBM,USA,http://www.research.ibm.com/people/k/kkummamu/index.htm
A441391,Noam Rinetzky,,Tel Aviv University,Israel,http://www.cs.tau.ac.il/~maon/
A441485,Chia-Jung Lee,,,,
A441486,Steven Loscalzo,,,,
A441495,Tao Ye,,,,
A441532,Andrew S. Gordon,,,,
A441572,Yinghui Xu,,,,
A441707,Shikui Wei,,,,https://orcid.org/0000-0003-3803-9763
A441964,Krishna G. Kulkarni,,,,
A442136,Hicham G. Elmongui,,Alexandria University,Egypt,http://eng.staff.alexu.edu.eg/~elmongui/
A442148,Omiros Metaxas,,,,
A442209,Huamao Gu,,,,
A442236,Pablo Barrio 0002,Pablo Javier Barrio,Google,USA,http://www.cs.columbia.edu/~pjbarrio/
A442278,Rafael Martínez,Rafael Martínez-Olalla,,,
A442317,Evangelia A. Sitaridi,Eva Sitaridi,,,
A442360,Biao Wang,,,,
A442379,Weifeng Lv,,,,
A442382,Ryan Smith,,,,
A442517,Shai Ben-David,,School of Computer Science,,http://www.cs.uwaterloo.ca/~shai/
A442520,Cynthia Bailey Lee,,Stanford University,USA,https://en.wikipedia.org/wiki/Cynthia_B._Lee
A442701,Hui Cao,,,,
A442714,Benjamin Bustos,Benjamín Bustos,,,https://scholar.google.com/citations?user=bbZWdFUAAAAJ
A442724,Tyler Sliwkanich,,,,
A442735,Kenneth Kreutz-Delgado,,UC,USA,
A442985,Peter B. Walker,,,,
A443020,Chantal Reynaud,Chantal Reynaud-Delaître,University of Paris Sud,France,https://www.lri.fr/~cr/
A443129,Jie Xiao,,,,
A443179,Dong Yuan,,,,https://orcid.org/0000-0003-1130-0888
A443234,Zheng Lu 0003,Zhen Lu 0003,Shanghai Jiao Tong University,China,
A443239,Honghui Chen,,,,
A443306,Radu Calinescu,Radu C. Calinescu,University of York,United Kingdom,https://www-users.cs.york.ac.uk/~raduc/
A443344,Kazuo Goda,,,,
A443381,Markus Dreseler,,,,
A443386,David A. Joiner,,,,
A443395,Mincheol Shin,,,,
A443491,Tobias Marschall,,Saarland University,Germany,http://mpi-inf.mpg.de/~marschal
A443518,Christian Konrad,,,,
A443565,Sung Jun Lee,,,,
A443622,Geng Tian,,,,
A443635,Nuwan Jayasena,,,,
A443637,Jiying Wang,,,,
A443670,Wim Le Page,,,,
A443814,Junfeng He,,,,
A443854,Xinxing Xu,,,,
A443910,Poul-Henning Kamp,,,,http://people.freebsd.org/~phk/
A443987,Qiang Cheng,,,,
A443993,Dong Shou,,,,
A444009,Chao Liu,,,,
A444232,Sai Rahul Chalamalasetti,,Hewlett Packard,USA,http://www.labs.hpe.com/people/sairahul_chalamalasetti/
A444282,Mrunal Gawade,,,,
A444308,Daniel R. Fesenmaier,,University of Florida,USA,http://hhp.ufl.edu/about/faculty-staff/fesenmaier_daniel/
A444314,Bing-Yu Sun,,Chinese Academy of Sciences,China,http://www.intelengine.cn/English/people/sby.htm
A444321,Min Chi,,,,
A444338,Fotis Kokkoras,,,,
A444373,Song Jin,,,,
A444400,Florin Constantin,,,,
A444445,Hung Dang,,,,
A444473,Guoqiang Zhong 0001,,Ocean University of China,China,https://scholar.google.com/citations?user=HqKD-fwAAAAJ
A444564,Ping Xiong,,,,
A444804,Baiyan Liu,,,,
A444882,Elif Aktolga,,,,
A444886,Ashwinkumar Badanidiyuru,Ashwinkumar Badanidiyuru Varadaraja:B. V. Ashwinkumar,,,
A444891,Jérôme Siméon,,,,
A444904,Fabio Simeoni,,,,
A444933,Mengyi Liu,,,,
A445051,Sasha Dadiomov,,,,
A445117,Dilruk Perera,,,,
A445128,Shangwen Lv,,,,
A445180,Roman Zoun,,,,
A445282,Shengmin Jin,,,,
A445287,Erees Queen B. Macabebe,,,,
A445432,Charles H. Martin,,,,
A445688,Weijie Meng,,,,
A445753,Hoang Dung Vu,,,,
A445941,Jae-woong Lee,,,,
A446056,Scott Freitas,,,,
A446205,Daizong Ding,,,,
A446261,Yosep Chong,,,,
A446270,Yicheng Sun,,,,
A446365,Raksha Pavagada Subbanarasimha,,,,
A446397,Sunjae Kwon,,,,
A446431,Yanlei Yu,,,,
A446439,Zizhe Wang,,,,
A446485,Mihir Kale,,,,
A446568,Chun-Jie Chen,,,,
A446633,Yuying Chen,,,,
A447142,Siddhartha Gairola,,,,
A447161,Tianwen Jiang,,,,
A447163,Sara Mumtaz,,,,
A447167,Sakib Islam,,,,
A447387,Yilan Zhang,,,,
A447408,Sarah Tan,,,,
A447520,Mehrnaz Zhian,,,,
A447582,Tina Trautner,,,,
A447622,Elaheh Alipour Chavary,,,,
A447686,Daniel Cory,,,,
A447730,Khanh Tran,,,,
A447824,Weiming Bao,,,,
A447986,Yash Kumar Lal,,,,
A448106,Guizi Chen,,,,
A448192,Tim Friedrich,,,,
A448243,Hongzuo Xu,,,,
A448260,Garima Gaur,,,,
A448553,HuangTao Xiong,,,,
A448575,Guwei Jin,,,,
A448588,Boyan Xu,,,,
A448774,Kay Schallert,,,,
A448897,Tyler Derr,,,,
A448918,Muhammad-Bilal Siddiqui,,,,
A449087,Huasong Shan,,,,
A449142,Mami Kawasaki,,,,
A449226,Samiul Anwar,,,,
A449284,Piotr Grudzien,,,,
A449541,Dirk Benndorf,,,,
A449744,Jakim Berndsen,,,,
A449898,Anand Bonde,,,,
A449909,Allison J. B. Chaney,,,,
A449981,Susie Heap,,,,
A450076,Akshay Kansal,,,,
A450228,Diego Carvalho 0002,,Federal University of São João del Rei,Brazil,
A450247,Krunal Parmar,,,,
A450253,Rongqin Yang,,,,
A450411,Nícollas Silva,,,,
A450420,Lianping Wang,,,,
A450540,Baiyun Cui,,,,
A450668,Muhammad Ebraheem,,,,
A450673,Sia Xin Yun Suzanna,,,,
A450682,Shanshan Lyu,,,,
A450746,Luca Giacomelli,,,,
A450842,Fragkiskos Gryllakis,,,,
A450922,Sybil Ehrensberger,,,,
A450938,Timothy Barron,,,,
A451012,Niels Donders,,,,
A451141,Zera Asani,,,,
A451149,Xiaotie Chen,,,,
A451211,Saekoo Lee,,,,
A451377,Zai Huang,,,,
A451506,Dongmei Hou,,,,
A451532,Keunchan Park,,,,
A451578,Satoshi Sanjo,,,,
A451878,Weiling Chen,,,,
A451951,Raphael Tang,,,,
A451997,Sudhanshu Pathak,,,,
A452172,Roy Rosemarin,,,,
A452193,Karolin Winter,,,,
A452281,Alexandra Arkut,,,,
A452481,Norah Alothman,,,,
A452542,Eric Holtgrefe,,,,
A452636,Xue Liu,,,,
A452758,Shufeng Gong,,,,
A452794,Sedigheh Eslami,,,,
A452825,Maya Ekron,,,,
A452901,Dmitry Shemetov,,,,
A452931,Zhongzhou Zhao,,,,
A452938,Robert Heyer,,,,
A452940,Muhammad Asjad Khan,,,,
A452972,Ines Arous,,,,
A453009,Er-Yang Huan,,,,
A453032,Sheng-Yun Huang,,,,
A453129,Michail-Romanos Kolozoff,,,,
A453162,Shuha Nabila,,,,
A453441,Nurislam Tursynbek,,,,
A453605,Ronnie S. Marinho,,,,
A453614,Jianqiang Huang,,,,
A453636,Guolei Sun,,,,
A453692,Sergey Redyuk,,,,
A453705,Moritz Wilke,,,,
A453731,Yongxin Shen,,,,
A453771,Alexandre Muzio,,,,
A453862,Foteini Beligianni,,,,
A453930,Mingjun Zhao,,,,
A454015,Ching-pei Lee,,,,
A454031,Zhengchao Liu,,,,
A454038,Ming Lei,,,,
A454062,Georgios Paliouras,George Paliouras,,,
A454165,Arun Vachher,,,,
A454167,Marcus A. Maloof,,,,
A454168,Janet Davis,,,,
A454193,Guohui Xiao 0001,,Free University of Bolzano,Italy,http://www.ghxiao.org/
A454214,Weining Qian,,,,https://wnqian.wordpress.com/
A454229,Marin Litoiu,,York University,Canada,http://www.yorku.ca/mlitoiu/
A454269,Ye Li,Li Ye,,,
A454338,Jiming Chen,Ji-ming Chen:Ji-Ming Chen,,,
A454350,Jane Yung-jen Hsu,,,,https://scholar.google.com/citations?user=FEj19lcAAAAJ
A454416,Fuyuan Liang,,,,
A454498,Man Ho Au,Man Ho Allen Au,,,https://orcid.org/0000-0003-2068-9530
A454510,Alexander Lazovik,,,,
A454523,Yuanxin Liu,,,,
A454548,Hongwei Sun,,,,
A454598,Shan Wang,,,,
A454633,Deryle W. Lonsdale,Deryle Lonsdale,Brigham Young University,USA,
A454664,Adam O'Neill,,,,
A454667,Yassine Djouadi,,,,
A454710,Dhruv Gupta 0002,,Max Planck Institute for Informatics,Germany,
A454786,Huan Li 0002,,Fudan University,China,https://orcid.org/0000-0002-7840-1053
A454805,Yunxin Liu,,,,
A454849,Nina Mishra,,,,
A454955,Xin Song,,,,
A454959,Hao Zhang 0029,,National University of Singapore,Singapore,https://orcid.org/0000-0002-3532-4043
A455083,Chi Keong Goh,,,,
A455090,Hongkai Wen 0001,,University of Warwick,United Kingdom,https://warwick.ac.uk/fac/sci/dcs/people/hongkai_wen/
A455220,María-Consuelo Rubio-Sánchez,,,,
A455272,Lipyeow Lim,,,,http://www2.hawaii.edu/~lipyeow/
A455343,Arne-Jørgen Berre,Arne J. Berre,,,
A455381,Diego Peteiro-Barral,,,,
A455419,Pavan Kumar GM,,,,
A455517,Shan Wang 0001,,Renmin University,China,http://info.ruc.edu.cn/en/faculty_detail.php?id=150
A455537,Akisato Kimura,,,,
A455572,Ling Gu,,,,
A455634,Hai-Ning Liang,Haining Liang,,,
A455674,Egor Samosvat,,,,
A455704,Yuan Chen,,,,
A455749,Zhihong Shen,,,,
A455766,Kai Zhang 0006,,Fudan University,China,https://orcid.org/0000-0001-7518-5466
A455835,Yubo Wang,,,,
A455858,Joseph G. Davis,,The University of Sydney,Australia,http://sydney.edu.au/engineering/people/joseph.davis.php
A455861,Niall Twomey,,University of Bristol,United Kingdom,https://www.otuama.net/
A455948,Yuan Niu,,,,
A455978,Aruna Seneviratne,Aruna Prasad Seneviratne,,,https://research.unsw.edu.au/people/professor-aruna-prasad-seneviratne
A456038,Saket Sathe,,,,
A456065,Niklas Lavesson,,,,
A456099,Yuan Chen 0001,,Hewlett Packard,USA,https://scholar.google.com/citations?user=4jfyJaoAAAAJ
A456101,Bin Cui 0001,,Peking University,China,http://net.pku.edu.cn/~cuibin/
A456186,Ritu Khare,,,,
A456264,Martin S. Kohn,,,,
A456291,Shawn R. Jeffery,,,,
A456293,Sitaram Lanka,,,,
A456312,Andrew Jon Sellers,,,,
A456401,Bharath Radhakrishnan,,,,
A456410,Allan Hanbury,,Technical University of Vienna,Austria,http://allan.hanbury.eu/doku.php
A456422,Khoi-Nguyen Tran,,,,
A456509,Thomas Weichert,,,,
A456514,Sergio Gómez-Villamor,,,,
A456629,Zhen Lei,,,,
A456646,Emmanuel Müller,Emmanuel Alexander Müller,Hasso Plattner Institute,Germany,https://hpi.de/en/mueller/prof-dr-emmanuel-mueller.html
A456735,Patrick Butler,,,,
A456767,Khaled Abdalgader,,,,
A456778,William M. Pottenger,,,,
A456781,András Z. Salamon,,,,
A456795,Xiaoyu Ding,,,,
A456810,Kamal K. Gupta,Kamal Kant Gupta:Kamal Gupta,Simon Fraser University,Canada,http://www2.ensc.sfu.ca/people/faculty/kamal/
A456816,Victoria López,,,,
A456831,Shiwen Zhao,,,,
A456834,Mahardhika Pratama,,,,
A456911,Daniel Beck,,,,
A457006,Gert Brettlecker,,,,
A457130,Aurojit Panda,,,,
A457165,Boyan Kolev,,,,https://orcid.org/0000-0003-4871-0434
A457195,Ran Roth,,,,
A457217,Ganesh Viswanathan,,,,
A457236,Yevgen Borodin,,,,
A457240,Yifei Zhang 0003,,Northeastern University,USA,
A457376,Hongxia Jin,,,,
A457384,Heng Zhang,,,,
A457385,Jie Zhu,,,,
A457655,Kai Zhang 0001,,Temple University,USA,https://cis.temple.edu/user/635
A457677,James Caverlee,,Texas A&M University,USA,http://faculty.cs.tamu.edu/caverlee/
A457689,Gustavo Marfia,,,,
A457707,Takashi Sonoda,,,,
A457766,Timothy G. Rogers,,,,
A457869,Suin Kim,,,,
A457890,Noseong Park,,,,
A457977,Hsin-Yun Huang,,,,
A457985,Christian Heupel,,,,
A457993,Jun Lu,,,,
A457999,Wenjun Jiang,,,,
A458043,Jong-Ryul Lee,,,,
A458143,Jinsoo Lee,,,,
A458215,Hao Zhang 0025,,Carnegie Mellon University,USA,http://www.cs.cmu.edu/~hzhang2/
A458241,Xi Niu,,,,
A458315,Cameron Marlow,,,,
A458322,Huan Li 0003,,Zhejiang University,China,http://longaspire.com/
A458342,Hong Zhu,,,,
A458396,Syed Sharique Ahmad,,,,
A458405,Rajen Subba,,,,
A458412,Kambiz Ghazinour,,,,
A458455,Dilip Antony Joseph,,,,
A458458,Maitreya Natu,,,,
A458467,Raman Mittal,,,,
A458481,Panos Y. Papalambros,,,,https://orcid.org/0000-0002-2630-7436
A458513,Matthew Damigos,,,,
A458533,Yue Yu,,,,
A458542,Qifeng Zhou,,,,
A458574,Pradheep Elango,,,,
A458578,Naveen Prakash,,,,
A458592,Fabian Hueske,Fabian Hüske,,,https://www.dima.tu-berlin.de/menue/team/fabian_hueske/
A458621,Yuni Xia,,,,
A458645,Kai Zhang,,,,
A458785,Anastasia Dimou,,,,
A458951,Maolin Tang,,,,
A459012,Wei Chu,,,,
A459025,Jonathan Huang,,,,
A459186,Ning Xie 0003,,University of Electronic Science and Technology of China,China,http://bmc.uestc.edu.cn/~xiening/
A459195,Yichen Zhou,,,,
